id,sentence,AI phrase,mask,AI entity,anthro component,score
7_arx_2303.17276_1817073_8,"This suggests that larger and more advanced LLMs may develop a tendency toward more human-like mistakes, as relevant thought patterns are inherent in human-produced training data.",larger and more advanced LLMs,LLMs,LLM,human-like mistakes,inc
7_arx_2303.17466_1817263_0,The recent release of ChatGPT has garnered widespread recognition for its exceptional ability to generate human-like responses in dialogue.,ChatGPT,ChatGPT,ChatGPT,human-like responses in dialogue,inc
7_arx_1909.08258_1178296_1,Our research is focused on making a human-like question answering system which can answer rationally.,a human-like question answering system,question answering system,system,human-like,inc
7_arx_1803.10813_960946_1,"Robotics and AI amplify human potentials, increase productivity and are moving from simple reasoning towards human-like cognitive abilities.",Robotics and AI,Robotics and AI,AI,human-like cognitive abilities,inc
7_arx_2401.01623_1981179_2,"In this paper, we prove in theory that AI can be as creative as humans under the condition that it can properly fit the data generated by human creators.",AI,AI,AI,creative as humans,inc
7_arx_2208.06590_1697302_7,"Based on the findings of philosophy and engineering cognitive technology, we predict that in the relatively near future, AI will be able to recognize various entities to the same degree as humans.",AI,AI,AI,recognize various entities to the same degree as humans,inc
7_arx_2306.10063_1863211_3,"Building social generative AI for education will require development of powerful AI systems that can converse with each other as well as humans, construct external representations such as knowledge maps, access and contribute to internet resources, and act as teachers, learners, guides and mentors.",powerful AI systems,AI systems,system,converse with each other as well as humans,inc
7_acl_29_46237_6,Our findings contribute to understanding LLMs’ reasoning capacities and outline promising strategies for improving their ability to reason causally as humans would.,LLMs,LLMs,LLM,reason casually as humans would,inc
7_acl_341_41488_2,"Therefore, there has been an urgent need to evaluate LLMs as human-like dialogue systems.",LLMs,LLMs,LLM,human-like dialogue,inc
7_acl_45_36822_5,"Extensive experiments with models of different sizes show that state-of-the-art LLMs can understand formal languages as well as humans, but generating correct logical forms given a few examples remains a challenge.",state-of-the-art LLMs,LLMs,LLM,understand formal languages as well as humans,inc
7_acl_119_34604_1,"While LLMs are being developed to simulate human behavior and serve as human-like agents, little attention has been given to the Agency that these models should possess in order to proactively manage the direction of interaction and collaboration.",LLMs,LLMs,LLM,simulate human behavior and serve as human-like agents,inc
7_acl_8_33866_9,"Thus, large LMs may indeed process recursively nested grammatical structures as reliably as humans, when evaluated comparably.",large LMs,large LMs,LM,process recursively nested grammatical structures as reliably as humans,inc
7_acl_773_32935_2,"Observing this, we shift the perspective, by treating LLMs as human-like communicators to examine the interplay between everyday language interaction and AI safety.",LLMs,LLMs,LLM,human-like communicators,inc
7_acl_1_43505_3,"We found that GPT-4 is an effective reader-annotator that performs close to or even slightly better than human annotators, and its results can be significantly improved by using a majority voting of five completions.",GPT-4,GPT-4,GPT-4,performs close to or even slightly better than human annotators,inc
7_acl_169_28305_5,"While GPT-3’s performance is not perfect, it is better than that of humans — likely thanks to its access to vast amounts of knowledge, and because conceptual processing is effortful for people (Connell and Lynott, 2012).",GPT-3,GPT-3,GPT-3,better than that of humans,inc
7_arx_2403.03230_2020349_6,"Like human experts, when LLMs were confident in their predictions, they were more likely to be correct, which presages a future where humans and LLMs team together to make discoveries.",LLMs,LLMs,LLM,like human experts,inc
7_acl_27_45946_1,"This paper investigates whether LLMs, like humans, struggle with reverse modeling, specifically with reversed text inputs.",LLMs,LLMs,LLM,struggle with reverse modeling like humans,inc
7_acl_744_27465_5,"Like previous studies, we find that LMs behave much like humans when presented with entities whose animacy is typical.",LMs,LMs,LM,behave much like humans,inc
7_arx_1808.01884_1011030_1,"Through AI developments, machines are now given power and intelligence to behave and work like the human mind.",machines,machines,machine,behave and work like the human mind,inc
7_arx_2303.12810_1812607_4,"Additionally, to evaluate the ability of LLMs to reason like humans, their performance is evaluted on more open-ended, natural language questions.",LLMs,LLMs,LLM,reason like humans,inc
7_arx_2308.09175_1897067_1,"However, AI systems, like humans, make mistakes, have blind spots, hallucinate, and struggle to generalize to new situations.",AI systems,AI systems,system,"make mistakes like humans,have blind spots like humans,hallucinate like humans,struggle to generalize to new situations like humans",inc
7_arx_2305.15929_1848985_2,"More concretely, just like humans, ChatGPT has a consonant bias.",ChatGPT,ChatGPT,ChatGPT,have a consonant bias like humans,inc
7_acl_865_37622_6,"Our model shows child-like U-shaped learning curves clearly for certain verbs, but the preferences for types of overgeneralization did not fully match the observations in children.",Our model,model,model,show child-like U-shaped learning curves,inc
7_arx_2310.00578_1922835_0,"ChatGPT has been demonstrated to possess significant capabilities in generating intricate, human-like text, and recent studies have established that its performance in theory of mind tasks is comparable to that of a nine-year-old child.",ChatGPT,ChatGPT,ChatGPT,generate intricate human-like text,inc
7_arx_2305.14930_1847986_4,"In a multi-armed bandit task, we find that LLMs pretending to be children of different ages recover human-like developmental stages of exploration.",LLMs,LLMs,LLM,human-like developmental stages of exploration,inc
7_acl_2_34316_4,"The latter dataset ensures that similar to children, the model is also exposed to language through media.",the model,model,model,exposed to language through media similar to children,inc
7_arx_2212.05206_1761383_2,"In this study, we show that LLMs like GPT-3 exhibit behavior that strikingly resembles human-like intuition - and the cognitive errors that come with it.",LLMs like GPT-3,LLMs,LLM,human-like intuition,inc
7_arx_2306.11530_1864678_0,"Conversational AI systems exhibit a level of human-like behavior that promises to have profound impacts on many aspects of daily life -- how people access information, create content, and seek social support.",Conversational AI systems,Conversational AI systems,system,human-like behavior,inc
7_arx_2305.19103_1852159_2,"Although LLMs are trained on restricted modalities, they exhibit human-like performance in diverse psychological tasks.",LLMs,LLMs,LLM,human-like performance in diverse psychological tasks,inc
7_arx_2305.16426_1849482_5,"Using three different tasks, involving both naturalistic social media data and constructed examples, we investigate the extent to which BERT, RoBERTa, GPT-2 and GPT-3 exhibit general, human-like, knowledge of these common words.","BERT, RoBERTa, GPT-2 and GPT-3","BERT, RoBERTa, GPT-2 and GPT-3","BERT,RoBERTa,GPT-2,GPT-3",human-like knowledge of common words,inc
7_arx_2305.08883_1841939_0,"LLMs now exhibit human-like skills in various fields, leading to worries about misuse.",LLMs,LLMs,LLM,human-like skills,inc
7_arx_2305.05516_1838572_2,"The key findings show that GPT exhibits behaviours similar to human responses, such as making positive offers and rejecting unfair ones in the ultimatum game, along with conditional cooperation in the prisoner's dilemma.",GPT,GPT,GPT,behaviors similar to human responses,inc
7_arx_2304.07830_1825876_1,"Accordingly, and given the recent proliferation of large language models (LLMs), here we asked whether such models exhibit an organisation of perceptual semantics similar to those observed in humans.",such models,models,model,organisation of perceptual semantics similar to those observed in humans,inc
7_arx_2309.13356_1918160_3,"Our study shows that early LLMs such as GPT-3 exhibit a moral reasoning ability no better than that of a random baseline, while ChatGPT, Llama2-Chat, PaLM-2 and GPT-4 show significantly better performance on this task, comparable to adult humans.","ChatGPT, Llama2-Chat, PaLM-2 and GPT-4","ChatGPT, Llama2-Chat, PaLM-2 and GPT-4","ChatGPT,GPT,Llama",performance comparable to adult humans,inc
7_acl_4_45309_4,"Through extensive experiments across multiple mainstream LLMs with CogLM, we find that: (1) In our testing framework, advanced LLMs (such as GPT-4) have demonstrated human-like cognitive abilities, comparable to those of a 20-year-old human.",advanced LLMs,LLMs,LLM,human-like cognitive abilities,inc
7_acl_289_35148_0,"Large Language models (LLMs) have exhibited remarkable abilities in understanding complex texts, offering a promising path towards human-like translation performance.",Large Language models (LLMs),Large Language models (LLMs),model,human-like translation performance,inc
7_arx_2307.02194_1873190_1,"With recent advancements (such as GPT-4), LLMs perform at a level comparable to humans for many proficient tasks.",LLMs,LLMs,LLM,perform at a level comparable to humans,inc
7_arx_2308.12578_1900470_0,"Recent researches indicate that Pre-trained Large Language Models (LLMs) possess cognitive constructs similar to those observed in humans, prompting researchers to investigate the cognitive aspects of LLMs.",Pre-trained Large Language Models,Pre-trained Large Language Models,model,cognitive constructs similar to those observed in humans,inc
