id,sentence,AI phrase,mask,AI entity,score
These results suggest that LLMs can autonomously develop effective model-improvement techniques beyond human intuition.,LLMs,LLMs,LLM,autonomously develop model-improvement techniques,p1
"Our experiments show that without external feedback, many LLMs struggle to recognize their need for user support.",many LLMs,LLMs,LLM,struggle to recognize,p2
"By relation-augmented training, the model learns to align the natural language expressions to the relations in the KB as well as reason over the missing connections in the KB.",the model,model,model,"learn,reason",p3
"Consequently, LLMs struggle to recall facts whose subject and object rarely co-occur in the pre-training dataset although they are seen during finetuning.",LLMs,LLMs,LLM,struggle to recall,p2
"In addition, ChatGPT, but not Vicuna, nonliterally interpreted implausible sentences that were likely to have been corrupted by noise, drew reasonable inferences, and overlooked semantic fallacies in a sentence.",ChatGPT,ChatGPT,ChatGPT,"interpret,draw an inference,overlook",p2
"We find that ChatGPT narrowly passed the exam, obtaining 20.5 out of 40 points.",ChatGPT,ChatGPT,ChatGPT,pass an exam,p2
"By analyzing call transcripts, AI can quickly determine which calls are most relevant for coaching purposes, and provide relevant feedback and insights to the contact center manager or supervisor.",AI,AI,AI,"determine,provide feedback and insights",p3
"When an LLM encounters questions outside its domain, the system recognizes its knowledge scope and determines whether it can answer the question independently.",the system,system,system,"recognize,determine",p3
"Further, to help LLMs distinguish confusing classes, we design a progressive revision framework, which can improve the thinking steps by correcting hard demonstrations.",LLMs,LLMs,LLM,distinguish,p2
"Our experimental results show that while LLMs demonstrate a notable capacity for logical counterfactual thinking, there remains a discernible gap between their current abilities and human performance.",LLMs,LLMs,LLM,demonstrate a notable capacity for logical counterfactual thinking,p3
"However, it is unclear if this success is limited to explicitly-mentioned causal facts in the pretraining data which the model can memorize.",the model,model,model,memorize,p2
"We introduce Pragmatic Metacognitive Prompting (PMP) to improve the performance of Large Language Models (LLMs) in sarcasm detection, which leverages principles from pragmatics and reflection helping LLMs interpret implied meanings, consider contextual cues, and reflect on discrepancies to identify sarcasm.",LLMs,LLMs,LLM,"interpret,consider contextual cues,reflect",p2
"For instance, it is widely accepted that LLMs perform well in terms of grammar, but it is unclear in what specific cognitive areas they excel or struggle in.",LLMs,LLMs,LLM,excel and struggle in specific cognitive areas,p3
"Our language model proves surprisingly good at identifying the selectional restrictions of English derivational morphemes, a task that requires both morphological and syntactic awareness.",Our language model,language model,model,identify,p3
"AI developers found that our system can help them discover unknown errors made by the AI models, and engage in the process of proactive testing.",our system,system,system,"help discover unknown errors,engage in the process of proactive testing",p3
"Apart from generating the wrong reasoning processes, LLMs can misinterpret the meaning of the question, and also exhibit difficulty in understanding the given questions’ rationales when attempting to correct students’ answers.",LLMs,LLMs,LLM,"misinterpret the meaning,exhibit difficulty in understanding",p2
Our evaluation finds that it is increasingly challenging for LLMs to identify analogies when going up the analogy taxonomy.,LLMs,LLMs,LLM,identify,p3
"Resultantly, the developed model efficiently analyzed the test data with a mean average precision of 0.89.",the developed model,model,model,analyze,p2
"To succeed, the AI agent needs to i) understand the underlying goal of the task by watching a single demonstration of the human-like agent performing the same task (social perception), and ii) coordinate with the human-like agent to solve the task in an unseen environment as fast as possible (human-AI collaboration).",the AI agent,AI agent,agent,"understand,coordinate",p2
The experimental results showcase that ChatGPT demonstrates proficiency in identifying topic structures in general-domain conversations yet struggles considerably in specific-domain conversations.,ChatGPT,ChatGPT,ChatGPT,"demonstrate proficiency,struggle",p3
"In the absence of a consensus definition and reliable tools for measurement, we cannot rule out the possibility that AI systems learn to manipulate humans without the intent of the system designers.",AI systems,AI systems,system,learn to manipulate,p3
"When performing next word prediction given a textual context, an LM can infer and represent properties of an agent likely to have produced that context.",an LM,LM,LM,infer,p2
