id,sentence,AI phrase,mask,AI entity,score
The equations for LES are formally derived by low-pass filtering the NS equations with the effect of the small scales on the larger ones captured by a SGS model.,a SGS model,SGS model,model,capture,n2
CNR is trained with data created by a generative model of synthetic structures which is used in combination with Simulated and Unsupervised Generative Adversarial Network (SimGAN) to create simulated and refined airways and vessels with known ground-truth.,a generative model of synthetic structures,generative model,model,create,n3  
"Ultimately, our results from comparisons of LVM segmentation predicted by a model locally trained using random initialization, versus one training-enhanced by TL, showed that a use-case model initiated by TL can be developed with sparse labels with acceptable performance.",a model,model,model,predict,n3
Specifically we will overview the criteria that should be met by an AI system before coming into official service and the conformity assessment procedures useful to monitor its functioning for fair decisions.,an AI system,AI system,system,meet criteria,n2
"Considering the natural ventilation, the thermal behavior of buildings can be described by a linear time varying model.",a linear time varying model,linear time varying model,model,describe,n2
"Then, a multilayer perceptron is trained by a backpropagation algorithm (MLP-BP) on a data subset, and used to classify the transients as glitch or burst.",a backpropagation algorithm (MLP-BP),backpropagation algorithm (MLP-BP),algorithm,train,n3
"Both the emitted power and its angular pattern are well described by a model, where microwave photons are generated via bremsstrahlung in the free-electron atomic-nucleus collisions, during the slowdown of the electrons.",a model,model,model,describe,n2
"In this study, UAV dynamics are described by a three-dimensional dynamic point-mass model.",a three-dimensional dynamic point-mass model,point-mass model,model,describe,n2
The synthetic PM10 record predicted by the model was found to correlate with the PM10 observations with a correlation coefficient close to 0.80 with a confidence greater than 99%.,the model,model,model,predict,n3
"Inspired by the latest ChatGPT and Toolformer models, we propose the Graph-ToolFormer (Graph Reasoning oriented Toolformer) framework to teach LLMs themselves with prompts augmented by ChatGPT to use external graph reasoning API tools.",the latest ChatGPT and Toolformer models,ChatGPT and Toolformer models,model,inspire,n2
"Drawing upon the political philosophy of John Rawls, it holds that the basic structure of society should be understood as a composite of socio-technical systems, and that the operation of these systems is increasingly shaped and influenced by AI.",AI,AI,AI,"shape,influence",n3
"The results indicate that biases equating American identity with being White are learned by language-and-image AI, and propagate to downstream applications of such models.",language-and-image AI,AI,AI,learn,n3
"Through examining the weights in the trained DCNN model, we are able to quantitatively measure the visual similarities between architects that are implicitly learned by our model.",our model,model,model,learn,n3
"This preference encourages the target model to predict a higher likelihood than that predicted by the aligned LLMs, incorporating assessment information on data quality (i.e., predicted likelihood by the aligned LLMs) into the training process.",the aligned LLMs,LLMs,LLM,predict,n3
"Therefore, determining whether a text was generated by an LLM has become one of the factors that must be considered when evaluating its reliability.",an LLM,LLM,LLM,generate,n3
We find that the observed behaviour is explained by a model including the effects associated with the variations of pressure and density.,a model,model,model,explain,n2
"For the sake of simplicity, a simple single-cell scenario is considered, where the optimization of the BS and IRS phase shifts is solved by a low-complexity trellis-based algorithm.",a low-complexity trellis-based algorithm,trellis-based algorithm,algorithm,solve,n2
"We present a large-scale study of linguistic bias exhibited by ChatGPT covering ten dialects of English (Standard American English, Standard British English, and eight widely spoken non-”standard” varieties from around the world).",ChatGPT,ChatGPT,ChatGPT,exhibit bias,n3
"We find that 4 pretrained transformers LMs obtain high performance on our probing tasks even on manipulated data, suggesting that semantic and syntactic knowledge in their representations can be separated and that constituency information is in fact learned by the LM.",the LM,LM,LM,learn,n3
"By applying our experimental pipeline to LMs trained on various filtered corpora, we are able to gain stronger insights into the semantic generalizations that are acquired by these models.",these models,models,model,acquire,n3
"However, these improvements can be attributed to the use of a separate translation system, which is typically trained on large amounts of parallel data not seen by the language model.",the language model,language model,model,see,n3
"In order to train the MoE model efficiently, a matrix factorization method is applied, by extending each weight matrix of the RNN to be an ensemble of topic-dependent weight matrices.",the MoE model,MoE model,model,train,n3
We believe the discussions would provide a broader perspective of looking at LLMs through a sociotechnical lens and our recommendations could serve as baselines to effectively demarcate responsibilities among the various technical and social stakeholders and inspire future LLM research.,LLMs,LLMs,LLM,look at,n1
"We engage non-expert humans to create a corpus of labeled text, use this labeled corpus to train a named entity recognition model, and employ the trained model to extract 10912 drug-like molecules from the COVID-19 Open Research Dataset Challenge (CORD-19) corpus of 198875 papers.",the trained model,model,model,employ,n1
"Many companies that deploy AI publicly state that when training a model, we not only need to improve its accuracy, but also need to guarantee that the model does not discriminate against users (fairness), is resilient to noisy or poisoned data (robustness), is explainable, and more.",AI,AI,AI,deploy,n1
"We first pre-train our model on a huge artificially generated QE dataset, and then we fine-tune the model with a human-labeled dataset.",the model,model,model,fine-tune,n1
We evaluated the RBM-based language model on the German to English and English to French translation task of TED lectures.,the RBM-based language model,RBM-based language model,model,evaluate,n1
"Moreover, since our model shares the same architecture as GPT (Radford et al., 2018), we are able to pre-train the model on large-scale unparallel corpus, which further improves the fluency of the output sentences.",the model,model,model,pre-train,n1
We ask whether structural information can be extracted from LLM’s and develop a model that integrates it with their learnt statistics.,a model,model,model,develop,n1
The goal is to merge the strengths of LLMs' medical domain knowledge and logical reasoning with the vision understanding capability of existing medical-image CAD models to create a more user-friendly and understandable system for patients compared to conventional CAD systems.,a more user-friendly and understandable system,system,system,create,n1
"Finally, we systematically evaluate and analyze eight mainstream LLMs and demonstrate the superior breadth and challenges of CodeScope for evaluating LLMs on code understanding and generation tasks compared to other benchmarks.",eight mainstream LLMs,LLMs,LLM,"evaluate,analyze",n1
"We evaluate recent multilingual LLMs, including GPT-4, GPT-3.5, Cohere-AYA, Trendyol-LLM, and Turkcell-LLM, using this dataset.",recent multilingual LLMs,LLMs,LLM,evaluate,n1
"We design a system using these pre-trained models to answer questions, based on the given context.",a system,system,system,design,n1
"Unlike traditional methods that often simplify multi-agent interactions using a single opponent model, EMO constructs an individual model for each opponent and aligns these models working in synergy through a bi-level feedback-refinement framework.",an individual model,model,model,construct,n1
"We also develop a search algorithm that builds off this performance to tackle the problem of solving full crossword grids with out-of-the-box LLMs for the very first time, achieving an accuracy of 93% on New York Times crossword puzzles.",a search algorithm,search algorithm,algorithm,develop,n1
"Using this approach, we train and present a BERT-based model trained on a biomedical corpus that matches or surpasses traditionally trained biomedical language models in performance across several downstream classification tasks while incurring up to 11 times lower training costs.",a BERT-based model,BERT-based model,model,"train,present",n3
"In evaluations of ranking character predictions, training recurrent LMs on noisy text makes them much more robust to noisy histories, even when the error model is misspecified.",recurrent LMs,recurrent LMs,LM,train,n3
"To test the impact of our filtering, we train GPT-2 models on both the original and the filtered datasets.",GPT-2 models,GPT-2 models,model,train,n3
In this work-in-progress we combined the effectiveness of transfer learning provided by pre-trained masked language models with a semi-supervised approach to train a fast and compact model using labeled and unlabeled examples.,a fast and compact model,model,model,train,n3
"Thus, it is important to leverage memorized knowledge in the external LM for building the seq2seq model, since it is hard to prepare a large amount of paired data.",the seq2seq model,seq2seq model,model,build,n1
"Using the TREC Misinformation dataset, we empirically evaluate ChatGPT to show not just its effectiveness but reveal that knowledge passed in the prompt can bias the model to the detriment of answer correctness.",ChatGPT,ChatGPT,ChatGPT,evaluate,n1
"In the present work, we develop a recurrent neural language model with a single self-attention head, which more closely parallels the memory system assumed by cognitive theories.",a recurrent neural language model,recurrent neural language model,model,develop,n1
"These findings highlight the challenges of developing AI for mental health counseling, particularly in competencies requiring empathy and nuanced reasoning.",AI,AI,AI,develop,n1
Our approach employs a pool of candidate VPs and trains a router model to dynamically select the most effective VP for a given input image.,a router model,router model,model,train,n3
We have gathered a substantial amount of Chinese corpus to train the model and have also optimized its structure.,the model,model,model,train,n3
"However, existing studies into language modelling with BERT have been mostly limited to English-language material and do not pay enough attention to the implicit knowledge of language, such as semantic roles, presupposition and negations, that can be acquired by the model during training.",the model,model,model,acquire,n3
"Human raters were asked to rate the explanation of the implicatures generated by LLMs on their reasonability, logic and fluency.",LLMs,LLMs,LLM,generate,n3
"We posit that multiple solutions to a reasoning task, generated by an LLM, can be represented as a reasoning graph due to the logical connections between intermediate steps from different reasoning paths.",an LLM,LLM,LLM,generate,n3
"In this paper, we introduce a new multilingual parallel dataset SHADES to help address this issue, designed for examining culturally-specific stereotypes that may be learned by LLMs.",LLMs,LLMs,LLM,learn,n3
"Specifically, we trained bilingual LMs with a scenario similar to human L2 acquisition and analyzed their cross-lingual transfer from linguistic perspectives.",bilingual LMs,LMs,LM,train,n3
