id,sentence,AI phrase,mask,AI entity,score
"The system leverages the capabilities of a sophisticated language model to serve as an intelligent research assistant, enhancing the efficiency and comprehensiveness of literature reviews in the nanotechnology domain.",The system,system,system,intelligent research assistant,p
"For example, in comparing ChatCollab AI agents, we find that an AI CEO agent generally provides suggestions 2-4 times more often than an AI product manager or AI developer, suggesting agents within ChatCollab can meaningfully adopt differentiated collaborative roles.",an AI CEO agent,AI,AI,CEO,p
"In particular, we will study the individual treatment profiles suggested by their AI Clinician to gain insight into how their AI Clinician intends to treat patients on an individual level.",their AI Clinician,AI,AI,clinician,p
"Departing from conventional practices of employing distinct models for image recognition and text-based coaching, our integrated architecture directly processes input images, enabling natural question-and-answer dialogues with the AI coach.",the AI coach,AI,AI,coach,p
We explore whether generative AI could become a cost-effective complement to expert feedback by serving as an automated teacher coach.,generative AI,generative AI,AI,teacher coach,p
"Meanwhile, Human-Centered AI (HCAI), which envisions AI as a collaborator augmenting human capabilities and aligning with societal values, remains a fugitive from the mainstream narrative.",AI,AI,AI,collaborator,p
"Finally, we present our vision for a user-centered system that leverages GenAI not only for automation but as an intelligent collaborator in visual data exploration.",GenAI,GenAI,GenAI,intelligent collaborator,p
"Study 3 finds that AI companions successfully alleviate loneliness on par only with interacting with another person, and more than other activities such watching YouTube videos.",AI companions,AI,AI,companion,p
"We identify various roles users assign to AI companions, such as friends, mentors, or romantic partners, and highlights the importance of customization and emotional support in these interactions.",AI companions,AI,AI,companion,p
"Moreover, consumers underestimate the degree to which AI companions improve their loneliness.",AI companions,AI,AI,companion,p
Study 4 uses a longitudinal design and finds that an AI companion consistently reduces loneliness over the course of a week.,an AI companion,AI,AI,companion,p
"Key findings reveal that users engage with AI companions for emotional comfort, stress relief, and to avoid social pressures.",AI companions,AI,AI,companion,p
"This paper explores the acceptance of human-AI love among young adults, particularly focusing on Chinese women in romantic or intimate relationships with AI companions.",AI companions,AI,AI,companion,p
"Large language model-based AI companions are increasingly viewed by users as friends or romantic partners, leading to deep emotional bonds.",Large language model-based AI companions,AI,AI,companion,p
"For example, in comparing ChatCollab AI agents, we find that an AI CEO agent generally provides suggestions 2-4 times more often than an AI product manager or AI developer, suggesting agents within ChatCollab can meaningfully adopt differentiated collaborative roles.",AI developer,AI,AI,developer,p
DrugAgent employs an LLM Planner that formulates high-level ideas and an LLM Instructor that identifies and integrates domain knowledge when implementing those ideas.,an LLM instructor,LLM,LLM,instructor,p
"However, how AI managers are perceived in comparison to human managers and how gender influences these perceptions remains uncertain.",AI managers,AI,AI,manager,p
"To determine the best selection of a control agent, we propose the addition of an AI manager (via Reinforcement Learning) which learns as an outside observer of the team.",an AI manager,AI,AI,manager,p
"For example, in comparing ChatCollab AI agents, we find that an AI CEO agent generally provides suggestions 2-4 times more often than an AI product manager or AI developer, suggesting agents within ChatCollab can meaningfully adopt differentiated collaborative roles.",an AI product manager,AI,AI,product manager,p
"It is demonstrated that if the typical pitfalls are avoided, we can substantially benefit from collaborating with an AI partner.",an AI partner,AI,AI,partner,p
"We propose a novel framework, instructRL, that enables humans to specify what kind of strategies they expect from their AI partners through natural language instructions.",AI partners,AI,AI,partner,p
"In another experiment, we enable human control, showing that participants perceive AI partners as more effective and enjoyable when they can directly dictate AI behavior.",AI partners,AI,AI,partner,p
"These AI partners engage in iterative, conversation-driven development processes, aligning closely with human goals and facilitating informed decision-making.",These AI partners,AI,AI,partner,p
"These attributes foster balanced interaction, enabling AI to act as a responsive partner, evolving with users over time.",AI,AI,AI,responsive partner,p
"Although these LLMs are marketed as helpful creative assistants, several works have shown that using an LLM as a creative partner results in a narrower set of creative outputs.",an LLM,LLM,LLM,creative partner,p
"In these tasks, the AI system acts as a co-creative partner, making novel contributions to an artifact-under-creation alongside its human partner(s).",the AI system,AI system,system,co-creative partner,p
DrugAgent employs an LLM Planner that formulates high-level ideas and an LLM Instructor that identifies and integrates domain knowledge when implementing those ideas.,an LLM planner,LLM,LLM,planner,p
"In addition, we propose a momentum distillation method by incorporating the gradients of teacher model into the update of the student model to better transfer the knowledge learned by the teacher model.",the student model,model,model,student,p
"We discuss these challenges, demonstrate that a dedicated prompt can improve the performance, and propose a blueprint of an LLM supporter that actively (but sensitively) seeks user context to provide personalized, empathetic, and reliable responses.",an LLM supporter,LLM,LLM,supporter,p
"In addition, we propose a momentum distillation method by incorporating the gradients of teacher model into the update of student model to better transfer the knowledge learned by the teacher model.",the teacher model,model,model,teacher,p
"The goal of the task was to benchmark the ability of generative language models to act as AI teachers, replying to a student in a teacher-student dialogue.",AI teachers,AI,AI,teacher,p
The task aims to assess the performance of state-of-the-art generative models as AI teachers in producing suitable responses within a student-teacher dialogue.,AI teachers,AI,AI,teacher,p
"Leveraging the strong language abilities of LLMs, we instruct LLM teachers to synthesize diverse contexts and anticipate more potential errors for the student.",LLM teachers,LLM,LLM,teacher,p
"We ask whether a large language model (LLM) can serve as a more effective in-context teacher for itself or other LLMs, compared to humans.",a large language model (LLM),large language model (LLM),model,teacher,p
"First, we train a teacher model to quantify each sample’s degree of relying on shortcuts.",a teacher model,model,model,teacher,p
"My research theme is to develop an optimal analytical model for various information generated during therapy using multimodal data in psychotherapy, to elucidate the process of psychotherapy, and to create an AI therapist to develop a new psychotherapy.",an AI therapist,AI,AI,therapist,p
"In this paper, we investigate whether current state-of-the-art large language models (LLMs) are effective as AI tutors and whether they demonstrate pedagogical abilities necessary for good AI tutoring in educational dialogues.",AI tutors,AI,AI,tutor,p
Results from a field study conducted in K-12 classrooms indicate that students learn more when teachers and AI tutors work together during class.,AI tutors,AI,AI,tutor,p
"However, concerns arise about the ability of AI tutors to address skill development and engagement during the learning process.",AI tutors,AI,AI,tutor,p
This research demonstrates the ability of personal AI tutors to model human learning processes and effectively enhance academic performance.,personal AI tutors,AI,AI,tutor,p
"When students posed questions within the intended scope, the AI tutors delivered accurate responses 98% of the time.",the AI tutors,AI,AI,tutor,p
"Overall, about half of the students engaged with the AI tutors, and the vast majority of the interactions were legitimate homework questions.",the AI tutors,AI,AI,tutor,p
"When deployed as a collaborative tutor, the system restricts student interaction to a chat only interface, promoting controlled and guided engagement.",the system,system,system,collaborative tutor,p
Many believe that use of generative AI as a private tutor has the potential to shrink access and achievement gaps between students and schools with abundant resources versus those with fewer resources.,generative AI,generative AI,AI,private tutor,p
"Experienced developers are more likely to perceive AI as a junior colleague, a content generator, or assign it no role, whereas less experienced developers primarily view AI as a teacher.",AI,AI,AI,"junior colleague,content generator",p
"We propose a framework for social scientists to incorporate LLMs into text annotation, either as the primary coding decision-maker or as a coding assistant.",LLMs,LLMs,LLM,"decision-maker,coding assistant",p
"Participants envisioned AI playing multidimensional roles, such as an operational assistant, personal trainer, group coach, and evaluator, as solutions to address unique instructional and operational challenges in K-12 PE classes.",AI,AI,AI,"operational assistant,personal trainer,group coach,evaluator",p
