id,sentence,AI phrase,mask,AI entity,score
"A smart autonomous system (SAS) combines analytics and autonomy to understand, learn, decide and act autonomously.",A smart autonomous system (SAS),system (SAS),system,"smart,autonomous",p2
"Results suggest that ChatGPT is aware of potential vulnerabilities, but nonetheless often generates source code that are not robust to certain attacks.",ChatGPT,ChatGPT,ChatGPT,aware,p2
A detection algorithm aware of the list can identify the watermarked text.,A detection algorithm,algorithm,algorithm,aware,p2
"Consequently, we argue that the emergence of a conscious AI model is plausible in the near term.",a conscious AI model,AI model,model,conscious,p2
"Conscious AI systems would arguably deserve moral consideration, and it may be the case that large numbers of conscious systems could be created and caused to suffer.",Conscious AI systems,AI systems,system,conscious,p1
"While recently Large Language Models (LLMs) have achieved remarkable successes, they are vulnerable to certain jailbreaking attacks that lead to generation of inappropriate or harmful content.",Large Language Models (LLMs),Large Language Models (LLMs),model,vulnerable,p3
"Unlike conventional AI systems that operate on a turn-based, input-output model, Thoughtful AI autonomously generates, develops, and communicates its evolving thought process throughout an interaction.",Thoughtful AI,AI,AI,thoughtful,p3
  Whether current or near-term AI systems could be conscious is a topic of scientific interest and increasing public concern.,current or near-term AI systems,current or near-tearm AI systems,system,conscious,p2
"While LLMs have demonstrated outstanding performance in understanding and generating contexts for different scenarios, they are vulnerable to prompt-based attacks, which are mostly via text input.",LLMs,LLMs,LLM,vulnerable,p3
"Large Language Models (LLMs) have shown impressive proficiency across a range of natural language processing tasks yet remain vulnerable to adversarial prompts, known as jailbreak attacks, carefully designed to elicit harmful responses from LLMs.",Large Language Models (LLMs),Large Language Models (LLMs),model,vulnerable,p3
"We find that powerful LLMs are aware of the certainty of their prediction and can achieve high agreement with ground truth on high-certainty samples, indicating a promising approach for building reliable and scalable proxies for evaluating LLM personalization.",powerful LLMs,LLMs,LLM,aware,p2
"In fact, we demonstrate that even a ""blind"" language model that ignores any image evidence can sometimes outperform all prior art, reminiscent of similar challenges faced by the visual-question answering (VQA) community many years ago.","a ""blind"" language model",language model,model,blind,p3
We conclude by discussing how future AI developments may affect the fight between malicious bots and the public.,malicious bots,bots,bot,malicious,p2
"The OCR model easily gets confused on recognizing handwritten Chinese characters, and the textual information of the answers is missing during the model inference.",The OCR model,OCR model,model,confused,p2
"Moreover, GPT-4V(ision) is vulnerable to leading questions and is often confused when interpreting multiple images together.",GPT-4V(ision),GPT-4V(ision),GPT-4,"vulnerable,confused",p2
"To balance between over-segmentation and under-segmentation, we introduce Salience Dropout; by iteratively dropping patches that the model is most attentive to, we are able to better resolve the entire extent of the segmentation mask.",the model,model,model,attentive,p2
"We prove that it is impossible to precisely and consistently predict what specific actions a smarter-than-human intelligent system will take to achieve its objectives, even if we know terminal goals of the system.",a smarter-than-human intelligent system,system,system,intelligent,p3
"All in all, we demonstrate that our self-aware model improves the overall PR-AUC by 27.45%, achieves a relative defect reduction of up to 31.22%, and is able to adapt quicker to changes in global preferences across a large number of customers.",our self-aware model,model,model,self-aware,p3
"We study how to better construct in-context example sets, based on whether the model is aware of the in-context examples.",the model,model,model,aware,p2
