id,sentence,AI phrase,mask,AI entity,score
"However, effectively integrating LLMs' commonsense knowledge and reasoning abilities into recommendation systems remains a challenging problem.",LLMs,LLMs,LLM,commonsense knowledge and reasoning abilities,p
Our findings underscore GPT's versatility and ability to discern and adapt to nuanced instructions.,GPT,GPT,GPT,ability to discern and adapt to nuanced instructions,p
These biases may impact the responses of constructs and should be considered when interpreting ChatGPT's conceptual capabilities.,ChatGPT,ChatGPT,ChatGPT,conceptual capabilities,p
This effectively mitigates ChatGPT's tendency to hallucinate information -- an issue that previously made the use of Large Language Models (LLMs) in scientific fields challenging.,ChatGPT,ChatGPT,ChatGPT,tendency to hallucinate information,p
We then consider a decision maker who is aware of the algorithm's manipulation and responds strategically.,the algorithm,algorithm,algorithm,manipulation,p
"In addition, OREO-LM provides reasoning paths as rationales to interpret the model's decision.",the model,model,model,decisions,p
"Using explainability, we observe that ChatGPT's writing is polite, without specific details, using fancy and atypical vocabulary, impersonal, and typically it does not express feelings.",ChatGPT,ChatGPT,ChatGPT,polite writing,p
"In this experiment, we characterize ChatGPT's refusal behavior using a black-box attack.",ChatGPT,ChatGPT,ChatGPT,refusal behavior,p
"Our analysis of GPT-series models over a rule subset reveals significant gaps in LLMs’ logic understanding compared to human performance, especially in compositional and structural complex rules with certain bias patterns.",LLMs,LLMs,LLM,logic understanding,p
"However, given the LLMs' considerable proficiency in writing Physics essays and coding abilities, non-invigilated examinations of these skills in Physics are highly vulnerable to automated completion by LLMs.",the LLMs,LLMs,LLM,considerable proficiency in writing Physics essays and coding abilities,p
"This conflict renders LLMs vulnerable to adversarial attacks, wherein intensifying the models' desire for continuity can circumvent alignment efforts, resulting in the generation of harmful information.",the model,model,model,desire,p
"On the other hand, downstream performance is mainly driven by the model’s size and prior legal knowledge which can be estimated by upstream and probing performance.",the model,model,model,prior legal knowledge,p
"Our method, Language Model Priors (LMPriors), incorporates auxiliary natural language metadata about the task -- such as variable names and descriptions -- to encourage downstream model outputs to be consistent with the LM's common-sense reasoning based on the metadata.",the LM,LM,LM,common-sense reasoning,p
"More specifically, we assess GPT-3's decision-making, information search, deliberation, and causal reasoning abilities on a battery of canonical experiments from the literature.",GPT-3,GPT-3,GPT-3,"decision-making,deliberation,causal reasoning abilities",p
"The results highlight ChatGPT's competence in comprehending and performing intricate tasks effectively in real-world settings, thus paving the way for further advancements in task planning.",ChatGPT,ChatGPT,ChatGPT,competence in comprehending and performing intricate tasks,p
"Our research is the first to systematically study an LLM's legal drafting and reasoning capabilities in litigation, as well as in securities law and cryptocurrency-related misconduct.",an LLM,LLM,LLM,legal drafting and reasoning capabilities,p
"This research sheds light on the collaborative synergy between human expertise and AI assistance, wherein ChatGPT's cognitive abilities enhance the design and development of potential pharmaceutical solutions.",ChatGPT,ChatGPT,ChatGPT,cognitive abilities,p
"Furthermore, historical figure simulations highlighted the LLM's capacity to internalize and project instructible personas, precisely replicating their philosophies and dialogic styles.",the LLM,LLM,LLM,capacity to internalize and project instructible personas,p
Explainability is usually referred to as an AI system's ability to provide a robust interpretation of its decision-making logic or the decisions themselves to human stakeholders.,an AI system,AI system,system,ability to provide a robust interpretation of its decision-making logic,p
The objective of the studies is to assess ChatGPT's ability to comprehend theoretical concepts and differentiate between constructs.,ChatGPT,ChatGPT,ChatGPT,ability to comprehend theoretical concepts and differentiate between constructs,p
"Finally, we note the need for these generative models to be evaluated with a metric that relies not only on dialog coherence and matched language modeling distribution but also on the model's ability to showcase pedagogical skills.",the model,model,model,ability to showcase pedagogical skills,p
"We examine ChatGPT's ability to pursue multiple interconnected learning objectives, adapt the educational activity to users' characteristics, such as culture, age, and level of education, and its ability to use diverse educational strategies and conversational styles.",ChatGPT,ChatGPT,ChatGPT,ability to pursue multiple interconnected learning objectives,p
"The possibility of manipulating, fooling or fairwashing evidence of the model's reasoning has detrimental consequences when applied in high-stakes decision-making and knowledge discovery.",the model,model,model,reasoning,p
These results enrich our understanding of LLMs' social behaviour and pave the way for a behavioural game theory for machines.,LLMs,LLMs,LLM,social behaviour,p
"Current evaluation paradigms are extremely limited, mainly validating the recall of edited facts, but changing one fact should cause rippling changes to the model's related beliefs.",the model,model,model,related beliefs,p
We find that GPT's decisions are largely rational in each domain and demonstrate higher rationality score than those of human subjects in a parallel experiment and in the literature.,GPT,GPT,GPT,rational decisions,p
"Moreover, we find that this seemingly default perception of ChatGPT as male can reverse when ChatGPT's feminine-coded abilities are highlighted (e.g., providing emotional support for a user).",ChatGPT,ChatGPT,ChatGPT,feminine-coded abilities,p
Our approach makes use of Large Language Models (LLMs) for this task by leveraging the LLM's commonsense reasoning capabilities for making sequential navigational decisions.,the LLM,LLM,LLM,commonsense reasoning capabilities,p
"In this work, we argue that for human-AI teams to be effective, humans must also develop a theory of AI's mind (ToAIM) - get to know its strengths, weaknesses, beliefs, and quirks.",AI,AI,AI,theory of mind,p
