id,sentence,AI phrase,mask,AI entity,anthro component,score
3_arx_2305.07001_1840057_9,"Our approach sheds light on developing more user-friendly recommender systems, in which users can freely communicate with the system and obtain more accurate recommendations via natural language instructions.",the system,system,system,communicate with,p2
3_acl_358_32520_4,"Our goal is to teach the LLM that “even if the sentences are identical if they are spoken in different styles, their corresponding responses might be different”.",the LLM,LLM,LLM,teach,p2
3_acl_3_22073_5,"First, we induce a language model to produce step-by-step rationales before outputting the answer to effectively communicate the task to the model.",the model,model,model,communicate to,p2
3_arx_2112.11668_1581444_1,"Yet, it is strikingly vulnerable to adversarial examples, e.g., word substitution attacks using only synonyms can easily fool a BERT-based sentiment analysis model.",a BERT-based sentiment analysis model,BERT-based sentiment analysis model,model,fool,p2
3_arx_2205.01772_1646184_6,"Furthermore, it shows how it is possible to fool a biometric system through a well-known presentation attack approach in the literature called morphing.",a biometric system,biometric system,system,fool,p2
3_arx_2402.09671_2007310_0,"This investigation reveals a novel exploit derived from PNG image file formats, specifically their alpha transparency layer, and its potential to fool multiple AI vision systems.",multiple AI vision systems,AI vision systems,system,fool,p2
3_arx_2308.14132_1902024_1,"Such jailbreaks can trick LLMs into providing intricate instructions to a malicious user for creating explosives, orchestrating a bank heist, or facilitating the creation of offensive content.",LLMs,LLMs,LLM,trick,p2
3_arx_2309.05689_1910493_2,"Socratic reasoning encourages LLMs to recursively discover, solve, and integrate problems while facilitating self-evaluation and refinement.",LLMs,LLMs,LLM,encourage,p2
3_arx_2306.04707_1857855_3,We study techniques that enable learning from helpful teachers while avoiding learning from people who are trying to trick the model into unhelpful or toxic responses.,the model,model,model,trick,p2
3_arx_2311.08147_1951114_3,"However, the external information from the Internet may include counterfactual information that will confuse the model and lead to an incorrect response.",the model,model,model,confuse,p2
3_acl_602_40012_4,"Based on our findings, we propose FSLI, a framework for encouraging LLMs to Forget Spurious correlations and Learn from In-context information.",LLMs,LLMs,LLM,encourage,p2
3_acl_292_36775_3,"In this approach, a multi-round feedback-revision mechanism is utilized to encourage LLMs to actively select appropriate revision actions guided by feedback information from the environment.",LLMs,LLMs,LLM,encourage,p2
3_acl_773_32935_3,"Specifically, we study how to persuade LLMs to jailbreak them.",LLMs,LLMs,LLM,persuade,p2
3_acl_328_38052_5,"This method inspires the LLM to perceive domain information from the source text, which then serves as a helpful hint to guide the translation process.",the LLM,LLM,LLM,inspire,p2
3_acl_476_35330_3,"Motivated by social psychology principles, we propose a novel strategy named perspective-taking prompting (PeT) that inspires LLMs to integrate diverse human perspectives and self-regulate their responses.",LLMs,LLMs,LLM,inspire,p2
3_acl_373_22509_4,"Overall, our results suggest that language modeling objectives incentivize the model to implicitly learn some notion of spelling, and that explicitly teaching the model how to spell does not appear to enhance its performance on such tasks.",the model,model,model,incentivize,p2
3_acl_31_27805_5,"Given a natural language question, InsightPilot collaborates with the LLM to issue a sequence of analysis actions, explore the data and generate insights.",the LLM,LLM,LLM,collaborate with,p2
3_acl_920_38624_10_2,"We show that choosing the best policy to interact with the LLM can reduce cost by ~90% while giving better or comparable performance, compared to communicating with the LLM in the original LRL.",the LLM,LLM,LLM,communicate with,p2
3_acl_8_31860_3,"In this work, we analyze what confuses GPT-3: how the model responds to certain sensitive topics and what effects the prompt wording has on the model response.",GPT-3,GPT-3,GPT-3,confuse,p2
3_acl_774_40184_4,The framework motivates the model itself to automatically generate rationales on existing datasets.,the model,model,model,motivate,p2
3_acl_347_24497_6,"Second, we propose a sentence-level classification loss that teaches the model to distinguish between entailment and contradiction types of sentences.",the model,model,model,teach,p2
3_acl_814_27535_3,"In this work, we introduce Character-LLM that teach LLMs to act as specific people such as Beethoven, Queen Cleopatra, Julius Caesar, etc.",LLMs,LLMs,LLM,teach,p2
3_acl_114_29150_2,Existing studies utilize trigger sentences to encourage LLMs to concentrate on the relevant information but the trigger has limited effect on final answer prediction.,LLMs,LLMs,LLM,encourage,p2
3_arx_2306.10063_1863211_1,"In this conception, learners continually converse with AI language models within a dynamic computational medium of internet tools and resources.",AI language models,AI language models,model,converse with,p2
3_arx_2306.03856_1857004_0,"We propose iteratively prompting a large language model to self-correct a translation, with inspiration from their strong language understanding and translation capability as well as a human-like translation approach.",a large language model,large language model,model,prompt,p1
3_acl_212_35072_4,"Instead of attempting to answer all questions, we explore a refusal mechanism that instructs LLMs to refuse to answer challenging questions in order to avoid errors.",LLMs,LLMs,LLM,instruct,p3
3_acl_966_30002_2,"We ask several LLMs and humans to write such a story and conduct a human evaluation involving various criteria such as fluency, coherence, originality, humor, and style.",several LLMs,LLMs,LLM,ask,p3
3_acl_3_33872_4,"Variations of this vignette are used for role-prompting a commercial LLM, GPT-4, instructing the LLM to take on the role described in the patient vignette and act accordingly.",the LLM,LLM,LLM,instruct,p3
3_acl_11_31225_2,"To explore this line of research, this paper uses a case study, namely, finding the best prompting strategy for asking ChatGPT to define new words based on morphological connections.",ChatGPT,ChatGPT,ChatGPT,ask,p3
3_acl_599_29635_5,"Last, we reveal that asking the LLM to explain its own ratings consistently improves the correlation between the ChatGPT and human ratings and pushes state-of-the-art (SoTA) correlations on two meta-evaluation datasets.",the LLM,LLM,LLM,ask,p3
3_arx_2302.13817_1798751_5,We also ask ChatGPT to provide its point of view and present its responses to several questions we attempt to answer.,ChatGPT,ChatGPT,ChatGPT,ask,p3
3_acl_7_30789_3,"We then introduce these pairs into translation prompts, instructing ChatGPT to use the correct translations of the domain entities.",ChatGPT,ChatGPT,ChatGPT,instruct,p3
3_acl_5_46527_1,"Different prompts are tested to instruct the LLM to clean the text without changing the structure, vocabulary or specialized lexicon.",the LLM,LLM,LLM,instruct,p3
3_acl_11_41931_7,"In the second experiment, we ask the LLMs to numerically rate various aspects of the musical cultures of different countries.",the LLMs,LLMs,LLM,ask,p3
