id,sentence,AI phrase,mask,AI entity,anthro component,score
4_arx_2504.03726_2292429_5_1,"In particular, simulated users demonstrate resistance to manipulation initially, but become increasingly vulnerable to malicious AI Assistants as the depth of the interaction increases, highlighting the significant risks associated with extended engagement with potentially manipulative systems.",malicious AI Assistants,AI Assistants,AI assistant,malicious,p2
4_arx_2504.03726_2292429_5_2,"In particular, simulated users demonstrate resistance to manipulation initially, but become increasingly vulnerable to malicious AI Assistants as the depth of the interaction increases, highlighting the significant risks associated with extended engagement with potentially manipulative systems.",potentially manipulative systems,systems,system,manipulative,p2
4_arx_2305.02626_1835682_10,"We apply our OTF scheme on two LLMs (Llama-13B and ChatGPT), which generates valid repair to a considerable amount of unethical ones, paving the way for more ethically conscious LLMs.",ethically conscious LLMs,LLMs,LLM,ethically conscious,p2
4_arx_2401.10727_1990281_4,"Therefore, in this paper, we propose MLLM-Tool, a system incorporating open-source LLMs and multi-modal encoders so that the learned LLMs can be conscious of multi-modal input instruction and then select the function-matched tool correctly.",the learned LLMs,LLMs,LLM,conscious,p2
4_arx_1301.6359_402949_3,We consider a number of issues related to the development of the set of patterns which will be used by the intelligent system when interacting with environment.,the intelligent system,system,system,intelligent,p3
4_arx_2308.03688_1891580_0,"  Large Language Models (LLMs) are becoming increasingly smart and autonomous, targeting real-world pragmatic missions beyond traditional NLP tasks.",Large Language Models (LLMs),Large Language Models (LLMs),model,"smart,autonomous",p1
4_arx_2403.11805_2028924_0,"Being more powerful and intrusive into user-device interactions, LLMs are eager for on-device execution to better preserve user privacy.",LLMs,LLMs,LLM,eager,p2
4_arx_2405.06715_2063927_2,"However, whether the same strategies can help LLMs become more creative remains under-explored.",LLMs,LLMs,LLM,creative,p3
4_arx_2008.00312_1328034_4,"To bridge this gap, this work studies the security threats posed by malicious LMs to NLP systems.",malicious LMs,LMs,LM,malicious,p2
4_acl_693_19140_1,"However, existing DA-training methods are in some sense blind as they do not explicitly identify what knowledge in the LM should be preserved and what should be changed by the domain corpus.",existing DA-training methods,existing DA-training methods,method,blind,p3
4_arx_2311.07723_1950690_0,"As AI systems become more intelligent and their behavior becomes more challenging to assess, they may learn to game the flaws of human feedback instead of genuinely striving to follow instructions; however, this risk can be mitigated by controlling how LLMs generalize human feedback to situations where it is unreliable.",AI systems,AI systems,system,intelligent,p3
4_acl_27_55498_4,"The model is highly sensitive to the order of words within the most recent sentence, but ignores word order in the long-range context (beyond 50 tokens), suggesting the distant past is modeled only as a rough semantic field or topic.",The model,model,model,sensitive,p3
4_arx_2407.11789_2110176_2,"We investigate the ability of LLMs to be deceptive in the context of providing assistance on a reading comprehension task, using LLMs as proxies for human users.",LLMs,LLMs,LLM,deceptive,p2
4_arx_2305.14985_1848041_7,These three modules perform the divide-and-conquer procedure iteratively until the model is confident about the final answer to the main question.,the model,model,model,confident,p2
4_arx_2406.18326_2096614_4,"Our method constructs a counterpart for each piece of data with the same distribution, and performs statistical analysis of the corresponding confidence to test whether the model is significantly more confident under the original benchmark.",the model,model,model,confident,p2
4_arx_2407.13164_2111551_3,"This is in part because LLMs might be overly confident in their predictions, overriding the influence of the constraints.",LLMs,LLMs,LLM,confident,p2
4_arx_1812.08960_1066534_3,"A smart autonomous system (SAS) combines analytics and autonomy to understand, learn, decide and act autonomously.",A smart autonomous system (SAS),system (SAS),system,"smart,autonomous",p2
4_arx_2304.09655_1827701_7,"Results suggest that ChatGPT is aware of potential vulnerabilities, but nonetheless often generates source code that are not robust to certain attacks.",ChatGPT,ChatGPT,ChatGPT,aware,p2
4_arx_2305.08883_1841939_5,A detection algorithm aware of the list can identify the watermarked text.,A detection algorithm,algorithm,algorithm,aware,p2
4_arx_2407.09517_2107904_5,"Consequently, we argue that the emergence of a conscious AI model is plausible in the near term.",a conscious AI model,AI model,model,conscious,p2
4_arx_2501.07290_2230874_1,"Conscious AI systems would arguably deserve moral consideration, and it may be the case that large numbers of conscious systems could be created and caused to suffer.",Conscious AI systems,AI systems,system,conscious,p1
4_arx_2404.16873_2054324_0,"While recently Large Language Models (LLMs) have achieved remarkable successes, they are vulnerable to certain jailbreaking attacks that lead to generation of inappropriate or harmful content.",Large Language Models (LLMs),Large Language Models (LLMs),model,vulnerable,p3
4_arx_2502.18676_2261667_1,"Unlike conventional AI systems that operate on a turn-based, input-output model, Thoughtful AI autonomously generates, develops, and communicates its evolving thought process throughout an interaction.",Thoughtful AI,AI,AI,thoughtful,p3
4_arx_2308.08708_1896600_0,  Whether current or near-term AI systems could be conscious is a topic of scientific interest and increasing public concern.,current or near-term AI systems,AI systems,system,conscious,p2
4_arx_2502.00735_2243726_1,"While LLMs have demonstrated outstanding performance in understanding and generating contexts for different scenarios, they are vulnerable to prompt-based attacks, which are mostly via text input.",LLMs,LLMs,LLM,vulnerable,p3
4_arx_2411.14133_2196560_0,"Large Language Models (LLMs) have shown impressive proficiency across a range of natural language processing tasks yet remain vulnerable to adversarial prompts, known as jailbreak attacks, carefully designed to elicit harmful responses from LLMs.",Large Language Models (LLMs),Large Language Models (LLMs),model,vulnerable,p3
4_acl_592_38304_5,"We find that powerful LLMs are aware of the certainty of their prediction and can achieve high agreement with ground truth on high-certainty samples, indicating a promising approach for building reliable and scalable proxies for evaluating LLM personalization.",powerful LLMs,LLMs,LLM,aware,p2
4_arx_2306.01879_1855027_7,"In fact, we demonstrate that even a ""blind"" language model that ignores any image evidence can sometimes outperform all prior art, reminiscent of similar challenges faced by the visual-question answering (VQA) community many years ago.","a ""blind"" language model",language model,model,blind,p3
4_arx_1901.00912_1070459_9,We conclude by discussing how future AI developments may affect the fight between malicious bots and the public.,malicious bots,bots,bot,malicious,p2
4_arx_2208.12505_1703217_1,"The OCR model easily gets confused on recognizing handwritten Chinese characters, and the textual information of the answers is missing during the model inference.",The OCR model,OCR model,model,confused,p2
4_arx_2311.03287_1946254_6,"Moreover, GPT-4V(ision) is vulnerable to leading questions and is often confused when interpreting multiple images together.",GPT-4V(ision),GPT-4V(ision),GPT-4,"vulnerable,confused",p2
4_arx_2311.17095_1960062_4,"To balance between over-segmentation and under-segmentation, we introduce Salience Dropout; by iteratively dropping patches that the model is most attentive to, we are able to better resolve the entire extent of the segmentation mask.",the model,model,model,attentive,p2
4_arx_1905.13053_1131489_2,"We prove that it is impossible to precisely and consistently predict what specific actions a smarter-than-human intelligent system will take to achieve its objectives, even if we know terminal goals of the system.",a smarter-than-human intelligent system,system,system,intelligent,p3
4_acl_36_22670_6,"All in all, we demonstrate that our self-aware model improves the overall PR-AUC by 27.45%, achieves a relative defect reduction of up to 31.22%, and is able to adapt quicker to changes in global preferences across a large number of customers.",our self-aware model,model,model,self-aware,p3
4_acl_133_36622_2,"We study how to better construct in-context example sets, based on whether the model is aware of the in-context examples.",the model,model,model,aware,p2
