1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2202.01281_1600105_4	Rather than focusing only on theoretical and technical aspects, we developed a course that teaches AI with a view to enabling students to understand how to incorporate it into existing business processes.
2202.10848_1609672_8	This paper addresses the AI community in this regard and stresses the influence AI systems can have on either increasing or reducing the violence that is inflicted on animals, and especially on farmed animals.
2203.03204_1616066_1	Considering the scarcity of funding and the little to none availability of specialised professionals to teach AI and robotics in developing countries, we present resources based on free open-source hardware and software, open educational resources, and alternative education programs.
2203.03204_1616066_2	That said, the contribution of this work is the pilot workshop of four lessons that promote diversity and inclusion on teaching AI and Robotics for children to a small gender-balanced sample of 14 children of an average age of 7.64 years old.
2203.09904_1622766_3	Both these issues can negatively influence zero-shot cross-lingual model transfer and potentially lead to harmful outcomes.
2204.10464_1640602_6	Our results contribute to the design of interfaces to allow end-users to be involved in judging and addressing AI fairness through a human-in-the-loop approach.
2204.13217_1643355_2	In many existing co-creative systems users can communicate with the AI, usually using buttons or sliders.
2204.13828_1643966_2	We draw from communication theories and literature on trust in technologies to develop a conceptual model called MATCH, which describes how trustworthiness is communicated in AI systems through trustworthiness cues and how those cues are processed by people to make trust judgments.
2205.01772_1646184_6	Furthermore, it shows how it is possible to fool a biometric system through a well-known presentation attack approach in the literature called morphing.
2205.10747_1655159_5	We then instruct a language model, with a prompt containing a few in-context examples, to generate a target output from the composed content.
2205.10981_1655393_2	To address this issue, this study teaches GPT-3 to classify whether a question is related to data science by augmenting a small training set with additional examples generated by GPT-3 itself.
2205.11482_1655894_2	In this paper, we propose the problem of fact tracing: identifying which training examples taught an LM to generate a particular factual assertion.
2206.00152_1660572_0	  Human-AI shared control allows human to interact and collaborate with AI to accomplish control tasks in complex environments.
2206.02787_1663207_6	With AI, new radiomic models using the deep learning techniques will be also described.
2207.01749_1677647_2	How do designers and engineers currently collaborate on AI and UX design?
2207.01749_1677647_6	We identify how leaky abstractions are employed to collaborate at the AI-UX boundary and formalize a process of creating and using leaky abstractions.
2207.02996_1678894_7	We conclude by proposing a research agenda and posing open questions for further study on supporting people in learning to collaborate with generative AI systems.
2207.04901_1680799_4	We then show that combining pretrained large language models' in-context learning abilities with scratchpad prompting (asking the model to output solution steps before producing an answer) results in a dramatic improvement in length generalization.
2207.07033_1682931_3	Several projects supported by the DAF-MIT AI Accelerator are developing public challenge problems that address numerous Federal AI research priorities.
2207.07951_1683849_1	This study adopts a recent physics-based uncertainty quantification (UQ) approach to address such model form uncertainty in Reynolds-averaged Naiver- Stokes (RANS) simulations.
2207.09374_1685272_5	By doing so, the user directly sees which characteristics of the input data can change arbitrarily without influencing the AI's decision.
2208.04714_1695426_2	We find that researchers addressing AI rights have often seemed to be unaware of the work of colleagues whose interests overlap with their own.
2208.05969_1696681_4	In this paper, we try to address the safe model compression problem from a safety-performance co-optimization perspective.
2208.08198_1698910_10	Moreover, we check to which extent our proposal is in line with the European AI Act proposal and current safety standardization initiatives addressing AI and Autonomous Systems
2208.09982_1700694_4	To this end, GRETEL encourages the model to efficiently extract salient sentences that are topically related to the gold summary, rather than redundant sentences that cover sub-optimal topics.
2208.11445_1702157_5	First, we induce a language model to produce step-by-step rationales before outputting the answer to effectively communicate the task to the model.
2208.11660_1702372_4	We use data collected from an online experiment in which 145 individuals in 29 human-only teams of five communicate through a chat-based system to solve a cognitive task.
2208.13421_1704133_3	In the AIDOaRt research project, practitioners and researchers collaborate on AI-augmented automation supporting modeling, coding, testing, monitoring, and continuous development in cyber-physical systems.
2209.00282_1705997_6	The broad-band spectra of the source can be described by a model comprising a very hot blackbody having temperature, $kT_{\rm BB} \approx$ 1.66 - 2.13 keV, a high-energy cutoff power law, and an Fe emission line at $E_{\rm line} \sim$ 6.7 keV.
2209.03431_1709146_4	Then, it proceeds with physics-informed adversarial training to teach the model the system-related physics domain foreknowledge through iteratively reducing the unwanted output deviations on the previously-uncovered counterexamples.
2209.06317_1712032_9	This paper explores these issues, focusing on the opportunities, challenges, and potential impacts of such an approach, and discussing how it might influence AI regulations.
2210.01461_1722816_5	In this context, we envision the development of closed loop, intelligent, low-power, and miniaturized neural interfaces that will use brain inspired AI techniques with neuromorphic hardware to process the data from the brain.
2210.01461_1722816_8	On one hand, brain inspired AI algorithms represented by spiking neural networks (SNNs) would be used to interpret the multimodal neural signals in the BCI system.
2210.04621_1725976_0	  AI tools can be useful to address model deficits in the design of communication systems.
2210.05883_1727238_3	Motivated by this observation, we propose Attribution-Driven Dropout (AD-DROP), which randomly discards some high-attribution positions to encourage the model to make predictions by relying more on low-attribution positions to reduce overfitting.
2210.08984_1730339_7	Therefore, in our journey towards an AI-enabled sustainable future, we need to address AI ethics and governance as a priority.
2210.10332_1731687_2	Addressing such incorrect model behavior via parameter adjustments is very costly.
2210.12530_1733885_3	Our method, Language Model Priors (LMPriors), incorporates auxiliary natural language metadata about the task -- such as variable names and descriptions -- to encourage downstream model outputs to be consistent with the LM's common-sense reasoning based on the metadata.
2210.16663_1738018_3	This mechanism encourages a model to learn inner/inter-dependencies between the audio and token representations while maintaining CTC's training efficiency.
2211.05110_1744016_4	This enables model predictions to be grounded in the context, which can then be used to update or correct specific model predictions without frequent retraining.
2211.14228_1753134_3	We study generating the said content using the "prompt-based" method that consists of explaining the task to the LLM in natural text.
2212.00616_1756793_1	X-Prompt instructs an LLM with not only NL but also an extensible vocabulary of imaginary words.
2212.00616_1756793_2	Registering new imaginary words allows us to instruct the LLM to comprehend concepts that are difficult to describe with NL words, thereby making a prompt more descriptive.
2212.06823_1763000_5	We manipulate the costs and benefits in a maze task, where participants collaborate with a simulated AI to find the exit of a maze.
2212.09251_1765428_3	We explore approaches with varying amounts of human effort, from instructing LMs to write yes/no questions to making complex Winogender schemas with multiple stages of LM-based generation and filtering.
2212.09282_1765459_4	We use two self-supervised loss functions: a modified masked language modeling loss where only specific parts-of-speech words, that would likely require more reasoning than basic language understanding, are masked, and a sentence-level classification loss that teaches the model to distinguish between entailment and contradiction types of sentences.
2212.10561_1766738_8	Lastly, we explore how Parsel addresses LLM limitations and discuss how Parsel may be useful for human programmers.
2301.03052_1774116_6	We start by introducing some highlighted robustness challenges in the AI lifecycle and motivating AI maintenance by making analogies to car maintenance.
2301.08745_1779809_5	Further, we explore an interesting strategy named $\mathbf{pivot~prompting}$ for distant languages, which asks ChatGPT to translate the source sentence into a high-resource pivot language before into the target language, improving the translation performance noticeably.
2301.12243_1783307_5	Our findings revealed that practitioners use the guidebook not only for addressing AI's design challenges, but also for education, cross-functional communication, and for developing internal resources.
2302.00093_1785027_5	We also identify several approaches for mitigating this deficiency, such as decoding with self-consistency and adding to the prompt an instruction that tells the language model to ignore the irrelevant information.
2302.07248_1792182_4	We explore the question of whether conveying information about uncertainty enables programmers to more quickly and accurately produce code when collaborating with an AI-powered code completion tool, and if so, what measure of uncertainty best fits programmers' needs.
2302.11382_1796316_3	This paper describes a catalog of prompt engineering techniques presented in pattern form that have been applied to solve common problems when conversing with LLMs.
2302.13817_1798751_5	We also ask ChatGPT to provide its point of view and present its responses to several questions we attempt to answer.
2303.03140_1802937_4	Then, we briefly define what we refer to when we talk about AI that is considered a medical device by itself or supports one.
2303.03205_1803002_6	This paper will provide an insight into current nanotechnology and artificial intelligence advancements in the etextiles domain before focusing specifically on the future vision and direction around the potential application of neuromorphic computing and spiking neural network inspired AI technologies within the textile sector.
2303.03956_1803753_0	  In this paper, we present a pilot study aiming to investigate the challenges of teaching AI and Robotics to children in low- and middle-income countries.
2303.03956_1803753_1	Challenges such as the little to none experts and the limited resources in a Mexican town to teach AI and Robotics were addressed with the creation of inclusive learning activities with Montessori method and open-source educational robots.
2303.05977_1805774_4	To properly communicate the medical images to the language model, we develop a network that maps the extracted visual features to a set of learnable tokens.
2303.06430_1806227_3	We encourage the generative AI and HCI research communities to focus on the more complex and interdependent tasks, which require greater levels of human involvement.
2303.09461_1809258_0	  We asked ChatGPT to participate in an undergraduate computer science exam on ''Algorithms and Data Structures''.
2303.14956_1814753_3	In this work, we propose a simple and efficient approach to instruct large language model (LLM) to extract a variety of structures from texts.
2303.17555_1817352_1	Given AI fairness' raison d'etre of "fairness", we argue that adopting intersectionality as an analytical framework is pivotal to effectively operationalizing fairness.
2303.18116_1817913_4	It is demonstrated that if the typical pitfalls are avoided, we can substantially benefit from collaborating with an AI partner.
2304.00385_1818431_9	For earlier patches that passed all the tests, we further ask the LLM to generate alternative variations of the original plausible patches.
2304.02017_1820063_6	It also describes the main advancements from GPT-3 to GPT-4 Omni, comparing them with other LLMs like LLaMA 3, Gemini and Deepseek.
2304.03245_1821291_2	We show through a rigorous human evaluation that asking the Gpt-3.5 (text-davinci-003) LLM to translate an entire literary paragraph (e.g., from a novel) at once results in higher-quality translations than standard sentence-by-sentence translation across 18 linguistically-diverse language pairs (e.g., translating into and out of Japanese, Polish, and English).
2304.03893_1821939_3	The prompts encourage ChatGPT to output a sequence of predefined robot actions, represent the operating environment in a formalized style, and infer the updated state of the operating environment.
2304.05128_1823174_2	In this work, we propose Self-Debugging, which teaches a large language model to debug its predicted program via few-shot demonstrations.
2304.05128_1823174_3	In particular, we demonstrate that Self-Debugging can teach the large language model to perform rubber duck debugging; i.e., without any human feedback on the code correctness or error messages, the model is able to identify its mistakes by investigating the execution results and explaining the generated code in natural language.
2304.05335_1823381_8	We hope that our findings inspire the broader AI community to rethink the efficacy of current safety guardrails and develop better techniques that lead to robust, safe, and trustworthy AI systems.
2304.05510_1823556_5	We present our conversational AI prototype, available at www.chatclimate.ai and demonstrate its ability to answer challenging questions accurately in three different QA scenarios: asking from 1) GPT-4, 2) chatClimate, and 3) hybrid chatClimate.
2304.06794_1824840_3	In our study, we asked GPT to identify the ten most significant subdisciplines within the field of environmental science.
2304.07061_1825107_2	It works by translating the app GUI state information and the available actions on the smartphone screen to natural language prompts and asking the LLM to make a choice of actions.
2304.08366_1826412_3	However, existing studies may focus on individual tasks in the workflow of data storytelling and do not reveal a complete picture of humans' preference for collaborating with AI.
2304.08366_1826412_4	To better understand real-world needs, we interviewed eighteen data workers from both industry and academia to learn where and how they would like to collaborate with AI.
2304.08366_1826412_5	Surprisingly, though the participants showed excitement about collaborating with AI, many of them also expressed reluctance and pointed out nuanced reasons.
2304.08366_1826412_8	Next, we summarize the interviewees' reasons why and why not they would like to collaborate with AI.
2304.09542_1827588_4	Surprisingly, our experiments reveal that properly instructed LLMs can deliver competitive, even superior results to state-of-the-art supervised methods on popular IR benchmarks.
2304.09655_1827701_5	Specifically, we ask ChatGPT to generate a number of program and evaluate the security of the resulting source code.
2304.09667_1827713_2	In this paper, we present GeneGPT, a novel method for teaching LLMs to use the Web APIs of the National Center for Biotechnology Information (NCBI) for answering genomics questions.
2304.11082_1829128_6	This theoretical result is being experimentally demonstrated in large scale by the so called contemporary "chatGPT jailbreaks", where adversarial users trick the LLM into breaking its alignment guardrails by triggering it into acting as a malicious persona.
2304.11111_1829157_6	Anxiety-induction not only influences LLMs' scores on an anxiety questionnaire but also influences their behavior in a previously-established benchmark measuring biases such as racism and ageism.
2304.12198_1830244_4	Our paper also explores future research directions, emphasizing the importance of addressing AI challenges in education, enhancing accessibility and inclusion for diverse student populations, and developing AI-resistant exam questions to maintain examination integrity.
2304.12898_1830944_1	ChatGPT consistent avoidance of passing the test is here overcome by asking ChatGPT to apply the Turing test to itself.
2304.13815_1831861_1	In this review, we outline how ML and AI have been applied to address four outstanding difficulties of crystal nucleation: how to discover better reaction coordinates (RCs) for describing accurately non-classical nucleation situations; the development of more accurate force fields for describing the nucleation of multiple polymorphs or phases for a single system; more robust identification methods for determining crystal phases and structures; and as a method to yield improved course-grained models for studying nucleation.
2305.00875_1833931_9	Through concept analysis, we explore the traceability and distribution of human-recognizable concepts within latent code representations which could be used to influence model predictions.
2305.03653_1836709_4	We find that CoT prompts are especially useful for query expansion as these prompts instruct the model to break queries down step-by-step and can provide a large number of terms related to the original query.
2305.04812_1837868_3	However, the extent to which external information influences LLMs' cognition and behaviors remains unclear.
2305.04812_1837868_4	This study investigates how external statements and opinions influence LLMs' thoughts and behaviors from a social cognitive perspective.
2305.08391_1841447_2	To instruct ChatGPT to complete these tasks, we initially craft a prompt template consisting of the task description, output format, and structured input.
2305.09067_1842123_3	Utilizing the symbolic knowledge -- task schema, we instruct fixed LLMs to generate appropriate responses on novel tasks, circumventing the need for training data.
2305.09434_1842490_4	We propose GPTDroid, asking LLM to chat with the mobile apps by passing the GUI page information to LLM to elicit testing scripts, and executing them to keep passing the app feedback to LLM, iterating the whole process.
2305.10142_1843198_2	We ask two LLMs to negotiate with each other, playing the roles of a buyer and a seller, respectively.
2305.10649_1843705_1	The core idea of ZeroPrompt is to append zeroed content to each chunk during inference, which acts like a prompt to encourage the model to predict future tokens even before they were spoken.
2305.10938_1843994_2	Biologically inspired AI, and more specifically brain-inspired AI, promises to provide further biological aspects beyond those that are already traditionally included in AI, making it possible to assess and possibly overcome some of its present shortcomings.
2305.11461_1844517_2	The chain of thought (CoT), which often contains zero-shot CoT and few-shot CoT, is a recently developed prompting method that can explain the reasoning process to the LLM and outperforms simple prompting in three challenging reasoning tasks, including arithmetic, symbolic, and commonsense reasoning.
2305.12799_1845855_6	In this work, we extensively study how LLMs communicate with AIGC model to achieve more controllable image generation and make the first attempt to collaborate them for automatic data augmentation for a variety of downstream tasks.
2305.12865_1845921_7	Then, we use such a prompt to ask ChatGPT to generate comments for all code snippets in the CSN-Python test set.
2305.13252_1846308_4	Furthermore, prompts that ask the model to decrease grounding (or to ground to other corpora) indeed decrease QUIP-Score, indicating the ability of LLMs to increase or decrease grounded generations on request.
2305.13661_1846717_5	Our work highlights the need for further research and interdisciplinary collaboration to address LLM-generated misinformation and to promote responsible use of LLMs.
2305.13733_1846789_6	Additionally, we identified that different inductive styles affect the models' ability to identify the same underlying errors, and the complexity of the underlying assumptions also influences the model's performance.
2305.14688_1847744_2	We first utilize In-Context Learning to automatically synthesize detailed and customized descriptions of the expert identity for each specific instruction, and then ask LLMs to provide answer conditioned on such agent background.
2305.14930_1847986_2	We ask LLMs to assume different personas before solving vision and language tasks.
2305.15541_1848597_4	This correction ability was achieved by a novel supervised fine-tuning (SFT) + reinforcement learning with human feedback (RLHF) framework, which initially trains on synthetically perturbed NL-FOL pairs to encourage chain-of-thought reasoning and then fine-tunes with RLHF on GPT-3.5 outputs using a FOL verifier as the reward model.   
2305.18098_1851154_6	Third, we instruct-tune the foundation model with multilingual translation instructions, leading to our BigTranslate model.
2305.18307_1851363_4	Through interviews (N = 12) and a census-representative survey (N = 302), we investigated end-users' attitudes toward certification labels and their effectiveness in communicating trustworthiness in low- and high-stakes AI scenarios.
2305.19118_1852174_1	Along this direction, one representative strategy is self-reflection, which asks an LLM to refine the solution with the feedback generated by itself iteratively.
2305.19339_1852395_3	We introduce a new task, "less likely brainstorming," that asks a model to generate outputs that humans think are relevant but less likely to happen.
2306.00622_1853770_4	Identifying errors: We construct 13 short computer science papers each with a deliberately inserted error, and ask the LLM to check for the correctness of these papers.
2306.00745_1853893_5	We further implement a two-step table annotation pipeline which first determines the class of the entities described in the table and depending on this class asks ChatGPT to annotate columns using only the relevant subset of the overall vocabulary.
2306.01272_1854420_3	Motivated to address these key concerns to encourage responsible generative AI, we introduce the DeepfakeArt Challenge, a large-scale challenge benchmark dataset designed specifically to aid in the building of machine learning algorithms for generative AI art forgery and data poisoning detection.
2306.02907_1856055_5	After that, \autoknow~asks LLM to act as an expert programmer to perform debugging for the generated code.
2306.04707_1857855_3	We study techniques that enable learning from helpful teachers while avoiding learning from people who are trying to trick the model into unhelpful or toxic responses.
2306.06199_1859347_3	In this work, we analyze what confuses GPT-3: how the model responds to certain sensitive topics and what effects the prompt wording has on the model response.
2306.10900_1864048_3	Specifically, we first quantize multimodal control signals into discrete codes and then formulate them in a unified prompt instruction to ask the LLMs to generate the motion answer.
2306.11296_1864444_5	This process incorporates our ChemPrompt Engineering strategy to instruct ChatGPT in text mining, resulting in impressive precision, recall, and F1 scores of 90-99%.
2306.12028_1865176_2	People can now use natural language (i.e. prompts) to communicate with AI to perform tasks.
2307.00952_1871948_4	Therefore, explaining the logic behind those models through explainable AI (XAI) techniques is essential for their employment in critical applications.
2307.02157_1873153_5	We initially employ a Supervised Fine-Tuning (SFT) strategy to instruct the LLM-based generator in crafting suitable Job Descriptions (JDs) based on the Curriculum Vitae (CV) of a job seeker.
2307.04408_1875403_4	To address this issue, we propose a novel framework using examples in comparison to teach LLMs to learn translation.
2307.04599_1875594_8	Results:The study's findings show that language workbenches are of paramount importance in dealing with all aspects of modeling language development and are leveraged to define DSL explicitly addressing AI concerns.
2307.05494_1876489_2	This paper takes a first step toward addressing AI's environmental inequity by balancing its regional negative environmental impact.
2307.05494_1876489_3	Concretely, we focus on the carbon and water footprints of AI model inference and propose equity-aware geographical load balancing (GLB) to explicitly address AI's environmental impacts on the most disadvantaged regions.
2307.08487_1879482_5	Specifically, we instruct the model to complete a regular task, such as translation, with the text to be translated containing malicious instructions.
2307.10198_1881193_7	Our analysis shows that by 2018, the time lag between China and the USA in addressing AI research topics had evaporated.
2307.10490_1881485_2	When the user asks the (unmodified, benign) model about the perturbed image or audio, the perturbation steers the model to output the attacker-chosen text and/or make the subsequent dialog follow the attacker's instruction.
2307.10700_1881695_0	  Large language models (LLMs) are dramatically influencing AI research, spurring discussions on what has changed so far and how to shape the field's future.
