id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
4_arx_2404.16873_2054324_0,"Further, we demonstrate that by fine-tuning on a synthetic dataset generated by AdvPrompter, LLMs can be made more robust against jailbreaking attacks while maintaining performance, i.e. high MMLU scores.","While recently Large Language Models (LLMs) have achieved remarkable successes, they are vulnerable to certain jailbreaking attacks that lead to generation of inappropriate or harmful content.","While recently [MASK] have achieved remarkable successes, they are vulnerable to certain jailbreaking attacks that lead to generation of inappropriate or harmful content.","Manual red-teaming requires finding adversarial prompts that cause such jailbreaking, e.g. by appending a suffix to a given instruction, which is inefficient and time-consuming.",Large Language Models (LLMs),Large Language Models (LLMs),model,vulnerable,Large Language Models (LLMs),1
4_arx_2502.18676_2261667_1,"We envision the concept of Thoughtful AI, a new human-AI interaction paradigm in which the AI behaves as a continuously thinking entity.","Unlike conventional AI systems that operate on a turn-based, input-output model, Thoughtful AI autonomously generates, develops, and communicates its evolving thought process throughout an interaction.","Unlike conventional AI systems that operate on a turn-based, input-output model, Thoughtful [MASK] autonomously generates, develops, and communicates its evolving thought process throughout an interaction.","In this position paper, we argue that this thoughtfulness unlocks new possibilities for human-AI interaction by enabling proactive AI behavior, facilitating continuous cognitive alignment with users, and fostering more dynamic interaction experiences.",Thoughtful AI,AI,AI,thoughtful,AI,1
4_arx_2308.08708_1896600_0,"Our analysis suggests that no current AI systems are conscious, but also suggests that there are no obvious technical barriers to building AI systems which satisfy these indicators.",Whether current or near-term AI systems could be conscious is a topic of scientific interest and increasing public concern.,Whether current or near-term [MASK] could be conscious is a topic of scientific interest and increasing public concern.,"This report argues for, and exemplifies, a rigorous and empirically grounded approach to AI consciousness: assessing existing AI systems in detail, in light of our best-supported neuroscientific theories of consciousness.",current or near-term AI systems,AI systems,system,conscious,AI systems,1
4_arx_2502.00735_2243726_1,"Large Language Models (LLMs) have seen widespread applications across various domains due to their growing ability to process diverse types of input data, including text, audio, image and video.","While LLMs have demonstrated outstanding performance in understanding and generating contexts for different scenarios, they are vulnerable to prompt-based attacks, which are mostly via text input.","While [MASK] have demonstrated outstanding performance in understanding and generating contexts for different scenarios, they are vulnerable to prompt-based attacks, which are mostly via text input.","In this paper, we introduce the first voice-based jailbreak attack against multimodal LLMs, termed as Flanking Attack, which can process different types of input simultaneously towards the multimodal LLMs.",LLMs,LLMs,LLM,vulnerable,LLMs,1
4_arx_2411.14133_2196560_0,"Our experiments show that GASP can generate natural jailbreak prompts, significantly improving attack success rates, reducing training times, and accelerating inference speed, thus making it an efficient and scalable solution for red-teaming LLMs.","Large Language Models (LLMs) have shown impressive proficiency across a range of natural language processing tasks yet remain vulnerable to adversarial prompts, known as jailbreak attacks, carefully designed to elicit harmful responses from LLMs.","[MASK] have shown impressive proficiency across a range of natural language processing tasks yet remain vulnerable to adversarial prompts, known as jailbreak attacks, carefully designed to elicit harmful responses from LLMs.","Traditional methods rely on manual heuristics, which suffer from limited generalizability.",Large Language Models (LLMs),Large Language Models (LLMs),model,vulnerable,Large Language Models (LLMs),1
4_acl_592_38304_5,"We observed that the personas provided to the LLM often have limited predictive power for the tasks, leading us to introduce verbal uncertainty estimation.","We find that powerful LLMs are aware of the certainty of their prediction and can achieve high agreement with ground truth on high-certainty samples, indicating a promising approach for building reliable and scalable proxies for evaluating LLM personalization.","We find that powerful [MASK] are aware of the certainty of their prediction and can achieve high agreement with ground truth on high-certainty samples, indicating a promising approach for building reliable and scalable proxies for evaluating LLM personalization.","Our human annotation reveals that third-person crowd worker evaluations of personalized preferences are even worse than LLM predictions, highlighting the challenges of evaluating LLM personalization.",powerful LLMs,LLMs,LLM,aware,LLMs,1
4_arx_2306.01879_1855027_7,"We analyze this behavior through a probabilistic lens, pointing out that some benchmarks inadvertently capture unnatural language distributions by creating adversarial but unlikely text captions.","In fact, we demonstrate that even a ""blind"" language model that ignores any image evidence can sometimes outperform all prior art, reminiscent of similar challenges faced by the visual-question answering (VQA) community many years ago.","In fact, we demonstrate that even a ""blind"" [MASK] that ignores any image evidence can sometimes outperform all prior art, reminiscent of similar challenges faced by the visual-question answering (VQA) community many years ago.",We derive a probabilistic post-processing scheme that controls for the amount of linguistic bias in generative VLMs at test time without having to retrain or fine-tune the model.,"a ""blind"" language model",language model,model,blind,language model,1
4_arx_1901.00912_1070459_9,"We again use the Botometer case to illustrate both algorithmic and interpretability improvements of bot scores, designed to meet user expectations.",We conclude by discussing how future AI developments may affect the fight between malicious bots and the public.,We conclude by discussing how future AI developments may affect the fight between malicious [MASK] and the public.,,malicious bots,bots,bot,malicious,bots,1
4_arx_2208.12505_1703217_1,"To automatically correct handwritten assignments, the traditional approach is to use an OCR model to recognize characters and compare them to answers.","The OCR model easily gets confused on recognizing handwritten Chinese characters, and the textual information of the answers is missing during the model inference.","The [MASK] easily gets confused on recognizing handwritten Chinese characters, and the textual information of the answers is missing during the model inference.","However, teachers always have these answers in mind to review and correct assignments.",The OCR model,OCR model,model,confused,OCR model,1
4_arx_2311.03287_1946254_6,"We identify a notable regional bias, whereby GPT-4V(ision) is better at interpreting Western images or images with English writing compared to images from other countries or containing text in other languages.","Moreover, GPT-4V(ision) is vulnerable to leading questions and is often confused when interpreting multiple images together.","Moreover, [MASK] is vulnerable to leading questions and is often confused when interpreting multiple images together.","Popular mitigation approaches, such as self-correction and chain-of-thought reasoning, are not effective in resolving these challenges.",GPT-4V(ision),GPT-4V(ision),GPT-4,"vulnerable,confused",GPT-4V(ision),1
4_arx_2311.17095_1960062_4,PnP-OVSS leverages a VLM with direct text-to-image cross-attention and an image-text matching loss.,"To balance between over-segmentation and under-segmentation, we introduce Salience Dropout; by iteratively dropping patches that the model is most attentive to, we are able to better resolve the entire extent of the segmentation mask.","To balance between over-segmentation and under-segmentation, we introduce Salience Dropout; by iteratively dropping patches that the [MASK] is most attentive to, we are able to better resolve the entire extent of the segmentation mask.","PnP-OVSS does not require any neural network training and performs hyperparameter tuning without the need for any segmentation annotations, even for a validation set.",the model,model,model,attentive,model,1
4_arx_1905.13053_1131489_2,"In this paper, we formally describe one such impossibility result, namely Unpredictability of AI.","We prove that it is impossible to precisely and consistently predict what specific actions a smarter-than-human intelligent system will take to achieve its objectives, even if we know terminal goals of the system.","We prove that it is impossible to precisely and consistently predict what specific actions a smarter-than-human intelligent [MASK] will take to achieve its objectives, even if we know terminal goals of the system.","In conclusion, impact of Unpredictability on AI Safety is discussed.",a smarter-than-human intelligent system,system,system,intelligent,system,1
4_acl_36_22670_6,We also surface a data augmentation strategy that leverages template-based generation in abridging complex conversation hierarchies of dialogs so as to simplify the learning process.,"All in all, we demonstrate that our self-aware model improves the overall PR-AUC by 27.45%, achieves a relative defect reduction of up to 31.22%, and is able to adapt quicker to changes in global preferences across a large number of customers.","All in all, we demonstrate that our self-aware [MASK] improves the overall PR-AUC by 27.45%, achieves a relative defect reduction of up to 31.22%, and is able to adapt quicker to changes in global preferences across a large number of customers.",,our self-aware model,model,model,self-aware,model,1
4_acl_133_36622_2,"In such scenarios, in-context examples trigger a language model (LM) to surface information stored in its parametric knowledge.","We study how to better construct in-context example sets, based on whether the model is aware of the in-context examples.","We study how to better construct in-context example sets, based on whether the [MASK] is aware of the in-context examples.","We identify ‘known’ examples, where models can correctly answer from their parametric knowledge, and ‘unknown’ ones.",the model,model,model,aware,model,1
4_arx_2501.13533_2237117_7,"Whereas agency has been discussed at length in the literature, other aspects of personhood have been relatively neglected.","AI agents are often assumed to pursue fixed goals, but AI persons may be self-aware enough to reflect on their aims, values, and positions in the world and thereby induce their goals to change.","AI agents are often assumed to pursue fixed goals, but [MASK] may be self-aware enough to reflect on their aims, values, and positions in the world and thereby induce their goals to change.",We highlight open research directions to advance the understanding of AI personhood and its relevance to alignment.,AI persons,AI persons,person,self-aware,AI persons,1
4_arx_2502.05605_2248596_0,"Furthermore, ARIES consistently enhances performance on mathematical reasoning tasks like GSM8K and MATH.",A truly intelligent Large Language Model (LLM) should be capable of correcting errors in its responses through external interactions.,A truly intelligent [MASK] should be capable of correcting errors in its responses through external interactions.,"However, even the most advanced models often face challenges in improving their outputs.",A truly intelligent Large Language Model (LLM),Large Language Model (LLM),model,"intelligent,capable",Large Language Model (LLM),1
